completion,prompt
sadness,i was feeling a bit gloomy over the weekend maybe it was all these grey days weve been having
sadness,i like feeling submissive or at the very least that my lover is dominant
joy,i hate these feelings of not being complacent
anger,i feel utterly disgusted that they would look at me in such a way but the thing continues
sadness,i feel hopeless and alone and i eat to soothe myself
sadness,i know first hand and all too well those feelings of pain hurt embarrassment and even shame over self image body shape physical features weight etc because of what i have let my body become
fear,i woke up this morning wanting to cry and the feeling hasnt been shaken yet
sadness,i know i haven t posted anything for months and i feel kind of guilty big thanks to the exams tests and assignments and all but so far so good
joy,i wished i could feel more energetic and deal with less pain but it might be my best option
sadness,i left for work feeling still unpleasant and cheered up a mite bit once i got there
joy,i feel terrific and i m starting to put weight on
anger,i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often
joy,i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more
sadness,i feel drained and depressed by it all
sadness,i feel sorry for writers because even drecky writers can pay to have a pretty good cover done for them
anger,i have to do this and make some vj feel jealous
sadness,i feel inhibited by not having an outlet to deal with my sexual tensions
anger,i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me
